Team_id,discipline_title,event_title,slug_game,country_name
1368,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Great Britain
1369,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Russian Federation
1370,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Netherlands
1371,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,New Zealand
1372,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,People's Republic of China
1373,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Switzerland
1374,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Japan
1375,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Germany
1376,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Brazil
1377,Athletics,Women's 4 x 400m Relay,athens-2004,United States of America
1378,Athletics,Women's 4 x 400m Relay,athens-2004,Russian Federation
